FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6169,0,0,0,0,0,0,0,0,8,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Man Utd,Wolverhampton,West Brom,Aston Villa,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7100000,1,67,3.4,4.7887323943662E-07,9.43661971830986E-06,0,731097,0,12,0,0,0,6,0,9.4,6311,-4,1,67,4,0.1,0,0.7,8,0,5,0,2,2.5,576999,0,-1,0,1,1014,2841,-1,0,223,Southampton,Man Utd,Liverpool,Everton,Leeds United F.C.,3,6.7,3.1,3.3,0,3.9,3.7,3.4,2.7,3.4,2.3,3.2,3.1,2.8,85.1
Che,Adams,FWD,SOU,5800000,1,84,3.7,6.37931034482759E-07,1.44827586206897E-05,0,1348037,1,34,0,0,0,4,0,14.5,31067,-2,0,84,2,0.3,0,1.7,9,0,6,0,6,5.1,1393749,0,-1,0,1,1738,9306,0,0,264,Chelsea,Leeds United F.C.,Everton,Sheffield United,Man City,7.2,4.1,6.5,4,0,3.7,4.1,5.1,0,3.6,3.8,4,3.8,2.9,123.6
Tosin,Adarabioyo,DEF,FUL,4500000,6,72,3.4,7.55555555555556E-07,1.6E-05,0,39442,1,21,0,0,0,0,0,16,1584,0,0,72,0,0.9,0,4.1,6,0,7,0,1,0.6,77079,0,-1,0,1,1890,1259,0,0,377,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,3.4,6.5,4.3,4.6,2.8,4.1,4.4,4.3,0,3.1,3.1,2.9,4.1,3,61.2
,Adrian,GLK,LIV,4200000,0,2,0.0833333333333333,1.98412698412698E-08,4.76190476190476E-07,0,61019,0,9,0,7,0,0,0,0.5,287,-3,0,2,3,0,0,0,0,0,0,0,0,0.3,54423,0,-1,0,0,180,146,0,0,28,Everton,Sheffield United,Chelsea,Fulham,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
Sergio,Aguero,FWD,MCI,10300000,0,6,1.2,1.16504854368932E-07,5.8252427184466E-07,0,503242,0,2,0,0,0,0,0,0.6,1058,-2,0,6,2,0,0,0,0,0,1,0,0,1.1,295773,0,-1,0,0,140,1533,0,0,20,Arsenal,West Ham,Wolverhampton,Man Utd,Southampton,0.6,1.3,1.4,0.6,0,0.6,0.6,0.6,0,0.7,0.6,0.7,0.6,0.6,10.4
Ola,Aina,DEF,FUL,4500000,8,81,3.9,8.66666666666667E-07,1.8E-05,0,62609,2,22,0,0,0,2,0,18,4892,0,0,81,0,1.1,0,5,8,0,6,0,1,1.2,148289,0,-1,0,3,1864,29545,0,0,354,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,4.2,8.1,5.1,5.3,3.4,5,5.3,5.2,0,3.8,3.8,3.6,5,3.7,69.7
Rayan,Ait Nouri,DEF,WOL,5000000,1,33,1.375,2.75E-07,6.6E-06,0,47014,0,11,0,0,0,1,0,6.6,147,0,0,33,0,0.1,0,0.3,5,0,1,0,1,0.1,49414,0,-1,0,1,697,122,0,0,139,Leeds United F.C.,Newcastle,Man City,Aston Villa,Liverpool,0.7,1.8,0.9,1.1,0,1.1,0.9,0.9,0.8,0.9,0.9,0.7,0.7,1,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,-2,41,1.7,3.54166666666667E-07,8.54166666666667E-06,0,44495,3,55,0,0,0,2,0,8.5,2109,-2,0,41,2,0.1,0,0.5,2,0,1,0,1,0.2,34438,0,-1,0,0,2099,317,0,1,272,Burnley,Brighton,Everton,Newcastle,Crystal Palace,0,1.9,1,1.1,0,0.9,1.1,1.4,1.4,1.7,1.5,1.5,1.4,1.1,62.3
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,832,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Tottenham,Man City,Leeds United F.C.,Man Utd,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,21,0.875,1.62037037037037E-07,3.88888888888889E-06,0,621465,3,7,0,0,0,1,0,3.9,1203,-1,0,21,1,0,0,0,1,0,2,0,0,2.5,261916,0,-1,0,0,469,21,0,0,97,Arsenal,West Ham,Wolverhampton,Man Utd,Southampton,0,0,0,0,0,0.4,0.4,0.4,0,0.4,0.4,0.4,0.4,0.4,16.6
Marc,Albrighton,MID,LEI,5200000,0,40,1.66666666666667,3.20512820512821E-07,7.69230769230769E-06,0,18752,2,11,0,0,0,0,0,7.7,167,-3,0,40,3,0.2,0,1.2,0,0,4,0,3,0.1,10067,0,-1,0,0,1109,158,0,0,168,Aston Villa,Arsenal,Burnley,Brighton,Sheffield United,0.8,2.1,1.1,1.5,0,0.8,0.9,1,0.8,0.9,0.9,0.8,1,0.8,65
Toby,Alderweireld,DEF,TOT,5400000,0,55,3.9,7.22222222222222E-07,1.01851851851852E-05,0,256927,2,12,0,0,0,1,0,10.2,2737,-1,0,55,1,0.2,0,1.3,4,0,6,0,0,1.7,161098,1,-1,0,1,1250,2539,0,0,265,West Ham,Burnley,Fulham,Crystal Palace,Arsenal,4.9,8.7,4.7,5.1,4.9,3.7,4.4,4.2,0,4.3,4.1,5.4,4.6,4.7,51.6
Trent,Alexander-Arnold,DEF,LIV,7400000,1,73,3.2,4.32432432432432E-07,9.86486486486487E-06,0,3557672,1,33,0,0,0,1,0,9.9,20412,-1,0,73,1,0.4,0,3.3,7,0,4,0,3,14.1,919827,0,-1,0,1,1935,5452,0,0,414,Everton,Sheffield United,Chelsea,Fulham,Wolverhampton,2.3,5.8,3.4,3.8,0,3.8,3.5,3,2.9,3.6,3,3.6,3,3.6,136.1
Ezgjan,Alioski,DEF,LEE,4400000,1,64,2.9,6.59090909090909E-07,1.45454545454545E-05,0,288676,3,28,0,0,0,2,0,14.5,9795,-1,0,64,1,0.3,0,1.3,6,0,6,0,0,2.3,410992,0,-1,0,2,1410,2010,0,0,285,Wolverhampton,Southampton,Aston Villa,West Ham,Chelsea,5.8,2.9,3.3,2.3,3.3,2.7,3.8,3.2,2.7,3,2.4,2.8,2.3,2.9,69.7
,Alisson,GLK,LIV,5900000,2,75,3.6,6.10169491525424E-07,1.27118644067797E-05,0,1038612,1,24,0,45,0,0,0,12.7,5415,-1,0,75,1,0.2,0,1.3,6,0,5,0,0,6.1,435429,0,-1,1,1,1890,1413,0,0,369,Everton,Sheffield United,Chelsea,Fulham,Wolverhampton,2.8,6.9,4,4.5,0,4.5,4.2,3.5,3.4,4.3,3.6,4.3,3.6,4.2,42.9
,Allan,MID,EVE,5200000,0,21,0.91304347826087,1.75585284280936E-07,4.03846153846154E-06,0,167481,4,16,0,0,0,0,0,4,154,-3,0,21,3,0,0,0,0,0,2,0,0,0.6,81895,0,-1,0,0,1028,86,0,0,140,Liverpool,Southampton,West Brom,Chelsea,Burnley,0.5,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,30.5
Bamidele,Alli,MID,TOT,7400000,1,6,0.260869565217391,3.52526439482961E-08,8.10810810810811E-07,0,250416,0,2,0,0,0,0,0,0.8,130,-6,0,6,6,0,0,0.3,0,0,0,0,0,0.5,21934,0,-1,0,0,113,170,0,0,19,West Ham,Burnley,Fulham,Crystal Palace,Arsenal,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,7.4
Miguel,Almiron,MID,NEW,5600000,2,72,3.1,5.53571428571429E-07,1.28571428571429E-05,0,99923,1,31,0,0,0,4,0,12.9,1202,-4,0,72,4,1,0,5.5,7,0,3,0,1,0.4,56551,0,-1,0,1,1533,1846,0,0,279,Man Utd,Wolverhampton,West Brom,Aston Villa,Brighton,2.1,2.9,3,2.1,2.7,2.3,3.1,2.5,2,2.4,2.3,2.1,4.1,2.8,99.2
Marcos,Alonso,DEF,CHE,5700000,1,31,1.29166666666667,2.26608187134503E-07,5.43859649122807E-06,0,257050,2,7,0,0,0,1,0,5.4,11489,-3,0,31,3,0.8,0,4.8,3,0,3,0,0,3.4,259598,0,-1,0,1,613,8830,0,0,129,Southampton,Man Utd,Liverpool,Everton,Leeds United F.C.,0.6,1.7,0.6,0.6,0,0.9,0.6,0.7,0.9,0.8,1.1,1,0.7,0.9,44.3
Frederik,Alves,DEF,WHU,4000000,0,0,0,0,0,0,847,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1766,0,-1,0,0,0,123,0,0,0,Tottenham,Man City,Leeds United F.C.,Man Utd,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,MID,BHA,4200000,1,28,1.16666666666667,2.77777777777778E-07,6.66666666666667E-06,0,179896,2,14,0,0,0,1,0,6.7,1219,-3,0,28,3,0.5,0,2.3,3,0,4,0,0,0.6,186303,0,-1,0,1,716,1839,0,0,110,Crystal Palace,West Brom,Leicester,Southampton,Newcastle,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,32.6
Daniel,Amartey,DEF,LEI,3900000,1,7,0.291666666666667,7.47863247863248E-08,1.79487179487179E-06,0,133982,1,6,0,0,0,0,0,1.8,1887,-1,0,7,1,0.2,0,0.7,0,0,0,0,0,1,94586,0,-1,0,0,382,2905,0,0,61,Aston Villa,Arsenal,Burnley,Brighton,Sheffield United,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.8
Ethan,Ampadu,DEF,SHU,4300000,2,35,1.45833333333333,3.39147286821705E-07,8.13953488372093E-06,0,77208,1,27,0,0,0,0,0,8.1,608,-2,0,35,2,0.3,0,1.5,3,0,1,0,0,0.5,47842,0,-1,0,1,1510,530,0,0,234,Fulham,Liverpool,Aston Villa,Southampton,Leicester,1,2.4,0.9,1,0,0.8,1.2,1.1,0.9,0.8,1.1,0.8,0.7,0.9,53.4
Joachim,Andersen,DEF,FUL,4500000,7,64,3.4,7.55555555555556E-07,1.42222222222222E-05,0,6178,3,18,0,0,0,0,0,14.2,789,0,0,64,0,1.1,0,4.9,6,0,7,0,1,0.1,13768,0,-1,0,1,1681,1584,0,1,327,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,3.4,6.5,4.3,4.6,2.8,4.1,4.4,4.3,0,3.1,3.1,2.9,4.1,3,44.2
Elliot,Anderson,MID,NEW,4500000,0,1,0.0416666666666667,9.25925925925926E-09,2.22222222222222E-07,0,2470,0,0,0,0,0,0,0,0.2,99,0,0,1,0,0,0,0,0,0,0,0,0,0,3124,0,-1,0,0,3,50,0,0,3,Man Utd,Wolverhampton,West Brom,Aston Villa,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Florin,Andone,FWD,BHA,4800000,0,0,0,0,0,0,30693,0,0,0,0,0,0,0,0,48,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,12994,0,-1,0,0,0,70,0,0,0,Crystal Palace,West Brom,Leicester,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Gomes,MID,EVE,5300000,0,29,1.26086956521739,2.37899917965546E-07,5.47169811320755E-06,0,42530,3,17,0,0,0,0,0,5.5,141,-2,0,29,2,0.2,0,1.3,0,0,2,0,1,0.2,23397,0,-1,0,0,1015,120,0,0,135,Liverpool,Southampton,West Brom,Chelsea,Burnley,0.6,1.4,0.6,0.6,0,0.6,0.7,0.6,0.6,0.6,0.6,0.9,0.6,0.6,31
,Anguissa,MID,FUL,4500000,2,57,2.3,5.11111111111111E-07,1.26666666666667E-05,0,403568,5,25,0,0,0,0,0,12.7,3098,0,0,57,0,0.4,0,1.6,4,0,5,0,3,1.5,435831,0,-1,0,0,1809,2682,0,0,318,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,2.5,2.7,1.3,1.2,1.4,1.4,1.7,1.6,0,1.6,1.9,1.5,1.4,1.7,88
Faustino,Anjorin,MID,CHE,4500000,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,-1,0,0,0,20,0,0,0,Southampton,Man Utd,Liverpool,Everton,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail,Antonio,FWD,WHU,6500000,7,72,4.5,6.92307692307692E-07,1.10769230769231E-05,0,1848965,2,15,0,0,0,6,0,11.1,89479,0,1,72,0,0.6,0,4,13,0,4,0,3,12.4,2109737,0,-1,0,1,1156,30469,-1,0,203,Tottenham,Man City,Leeds United F.C.,Man Utd,Arsenal,4.9,3.7,4.8,5.1,4.7,4.5,4.6,5.8,4.5,4.8,4.6,5.3,5.7,5.4,115.7
Alphonse,Areola,GLK,FUL,4500000,6,91,3.8,8.44444444444444E-07,2.02222222222222E-05,0,227129,0,29,0,83,0,0,0,20.2,6437,0,0,91,0,1,0,4.7,7,0,7,0,0,4.1,418876,0,-1,0,1,2160,18998,0,0,451,Sheffield United,Crystal Palace,Tottenham,Liverpool,Man City,4.1,7.7,5,5.2,3.3,4.8,5.1,5,0,3.6,3.7,3.5,4.8,3.6,61.2
Stuart,Armstrong,MID,SOU,5500000,0,71,3.7,6.72727272727273E-07,1.29090909090909E-05,0,112151,1,28,0,0,0,3,0,12.9,2271,0,0,71,0,0.4,0,2.4,4,0,7,0,3,0.4,108197,0,-1,0,1,1552,304,0,0,250,Chelsea,Leeds United F.C.,Everton,Sheffield United,Man City,7,3.8,6.4,3.7,0,4.3,3.7,3.7,0,2.9,2.5,3.7,3.4,2.9,81.2
Kepa,Arrizabalaga,GLK,CHE,4700000,0,15,0.625,1.32978723404255E-07,3.19148936170213E-06,0,171643,0,6,0,12,0,0,0,3.2,826,-3,0,15,3,0.3,0,1.5,2,0,1,0,0,0.6,49218,0,-1,0,0,360,277,0,0,69,Southampton,Man Utd,Liverpool,Everton,Leeds United F.C.,0.3,0.6,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,7.8
